Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus barbutellus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus bohemicus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus campestris
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus confusus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus cryptarum
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus cullumanus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus distinguendus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus hortorum
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus humilis
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus hypnorum
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus jonellus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus lapidarius
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus lapponicus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus lucorum
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus magnus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus muscorum
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus norvegicus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pomorum
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pratorum
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus ruderarius
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus ruderatus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus rupestris
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus semenoviellus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus soroeensis
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus subterraneus
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus sylvarum
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus sylvestris
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vestalis
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus veteranus
Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,Bombycilla garrulus
Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,Bombycilla japonica
Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylella,Bombylella atra
Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius canescens
Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius cinerascens
Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius discolor
Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius fimbriatus
Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius major
Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius medius
Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius minor
Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius posticus
Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius venosus
Animalia,Arthropoda,Maxillopoda,Poecilostomatoida,Bomolochidae,Bomolochus,Bomolochus soleae
Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Boops,Boops boops
Animalia,Arthropoda,Insecta,Hymenoptera,Megastigmidae,Bootanomyia,Bootanomyia dorsalis
Animalia,Arthropoda,Malacostraca,Isopoda,Bopyridae,Bopyrus,Bopyrus squillarum
Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,Borborillus,Borborillus uncinatus
Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,Borborillus,Borborillus vitripennis
Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Boreoheptagyia,Boreoheptagyia rugosa
Animalia,Arthropoda,Diplopoda,Julida,Blaniulidae,Boreoiulus,Boreoiulus tenuis
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Boreophilia,Boreophilia eremita
Animalia,Arthropoda,Insecta,Mecoptera,Boreidae,Boreus,Boreus hyemalis
Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Borkhausenia,Borkhausenia fuscescens
Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Borkhausenia,Borkhausenia luridicomella
Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Borkhausenia,Borkhausenia minutella
Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Borkhausenia,Borkhausenia nefrax
Animalia,Arthropoda,Insecta,Diptera,Phoridae,Borophaga,Borophaga femorata
Animalia,Arthropoda,Insecta,Diptera,Phoridae,Borophaga,Borophaga subsultans
Animalia,Mollusca,Gastropoda,Allogastropoda,Valvatidae,Borysthenia,Borysthenia naticina
Animalia,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina brevicornis
Animalia,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina cornuta
Animalia,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina longirostris
Animalia,Arthropoda,Branchiopoda,Diplostraca,Bosminidae,Bosmina,Bosmina pellucida
Animalia,Arthropoda,Insecta,Coleoptera,Bostrichidae,Bostrichus,Bostrichus capucinus
Animalia,Arthropoda,Insecta,Coleoptera,Bostrichidae,Bostrychoplites,Bostrychoplites cornutus
Animalia,Arthropoda,Insecta,Coleoptera,Bostrichidae,Bostrychopsis,Bostrychopsis parallela
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila brunneilinea
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila dissecta
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila fugax
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila gnava
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila latifrons
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila seneciella
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila silvatica
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila sonchi
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila striolata
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila trapezina
Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Botanophila,Botanophila varicolor
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus stellaris
Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Bothria,Bothria frontosa
Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Bothria,Bothria subalpina
Animalia,Platyhelminthes,Cestoda,Pseudophyllidea,Bothriocephalidae,Bothriocephalus,Bothriocephalus claviceps
Animalia,Platyhelminthes,Cestoda,Pseudophyllidea,Bothriocephalidae,Bothriocephalus,Bothriocephalus scorpii
Animalia,Annelida,Oligochaeta,Tubificida,Tubificidae,Bothrioneurum,Bothrioneurum vejdovskyanum
Animalia,Arthropoda,Insecta,Coleoptera,Limnichidae,Bothriophorus,Bothriophorus atomus
Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Bothriothorax,Bothriothorax aralius
Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Bothriothorax,Bothriothorax clavicornis
Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Bothriothorax,Bothriothorax paradoxus
Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Bothriothorax,Bothriothorax serratellus
Animalia,Platyhelminthes,Turbellaria,Rhabdocoela,Typhloplanidae,Bothromesostoma,Bothromesostoma personatum
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Bothynoderes,Bothynoderes affinis
Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Bothynotus,Bothynotus pilosus
Animalia,Chordata,Ascidiacea,Stolidobranchia,Botryllidae,Botrylloides,Botrylloides leachii
Animalia,Chordata,Ascidiacea,Stolidobranchia,Botryllidae,Botrylloides,Botrylloides violaceus
Animalia,Chordata,Ascidiacea,Stolidobranchia,Botryllidae,Botryllus,Botryllus schlosseri
Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Boudinotiana,Boudinotiana notha
Animalia,Cnidaria,Hydrozoa,Filifera,Bougainvilliidae,Bougainvillia,Bougainvillia britannica
Animalia,Cnidaria,Hydrozoa,Filifera,Bougainvilliidae,Bougainvillia,Bougainvillia muscus
Animalia,Cnidaria,Hydrozoa,Filifera,Bougainvilliidae,Bougainvillia,Bougainvillia principis
Animalia,Cnidaria,Hydrozoa,Filifera,Bougainvilliidae,Bougainvillia,Bougainvillia superciliaris
Animalia,Arthropoda,Entognatha,Collembola,Bourletiellidae,Bourletiella,Bourletiella arvalis
Animalia,Arthropoda,Entognatha,Collembola,Bourletiellidae,Bourletiella,Bourletiella hortensis
Animalia,Arthropoda,Entognatha,Collembola,Bourletiellidae,Bourletiella,Bourletiella pistillum
Animalia,Arthropoda,Entognatha,Collembola,Bourletiellidae,Bourletiella,Bourletiella radula
Animalia,Arthropoda,Entognatha,Collembola,Bourletiellidae,Bourletiella,Bourletiella viridescens
Animalia,Arthropoda,Insecta,Psocodea,Bovicoliidae,Bovicola,Bovicola bovis
Animalia,Arthropoda,Insecta,Psocodea,Bovicoliidae,Bovicola,Bovicola caprae
Animalia,Arthropoda,Insecta,Psocodea,Bovicoliidae,Bovicola,Bovicola longicornis
Animalia,Arthropoda,Insecta,Psocodea,Bovicoliidae,Bovicola,Bovicola ovis
Animalia,Arthropoda,Insecta,Psocodea,Bovicoliidae,Bovicola,Bovicola tibialis
Animalia,Arthropoda,Arachnida,Trombidiformes,Ereynetidae,Boydaia,Boydaia jordani
Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Brachicheta,Brachicheta strigata
Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,Brachicoma,Brachicoma devia
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Brachida,Brachida exigua
Animalia,Arthropoda,Maxillopoda,Siphonostomatoida,Lernaeopodidae,Brachiella,Brachiella thynni
Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Brachineura,Brachineura squamigera
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Brachinus,Brachinus crepitans
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Brachinus,Brachinus explodens
Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus angularis
Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus budapestinensis
Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus calyciflorus
Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus diversicornis
Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus leydigi
Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus plicatilis
Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus quadridentatus
Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus urceolaris
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Brachionycha,Brachionycha nubeculosa
Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Brachmia,Brachmia blandella
Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Brachmia,Brachmia dimidiella
Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Brachmia,Brachmia inornatella
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Brachonyx,Brachonyx pineti
Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Brachyarthrum,Brachyarthrum limitatum
Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Brachycarenus,Brachycarenus tigrinus
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus cardui
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus helichrysi
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus jacobi
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus klugkisti
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus lychnicola
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus lychnidis
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus persicae
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus prunicola
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus rumexicolens
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus schwartzi
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus spiraeae
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycaudus,Brachycaudus tragopogonis
Animalia,Arthropoda,Insecta,Trichoptera,Brachycentridae,Brachycentrus,Brachycentrus maculatus
Animalia,Arthropoda,Insecta,Trichoptera,Brachycentridae,Brachycentrus,Brachycentrus subnubilus
Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,Brachycercus,Brachycercus harrisella
Animalia,Arthropoda,Diplopoda,Chordeumatida,Brachychaeteumatidae,Brachychaeteuma,Brachychaeteuma bagnalli
Animalia,Arthropoda,Diplopoda,Chordeumatida,Brachychaeteumatidae,Brachychaeteuma,Brachychaeteuma bradeae
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Brachychthoniidae,Brachychthonius,Brachychthonius berlesei
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Brachychthoniidae,Brachychthonius,Brachychthonius bimaculatus
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Brachychthoniidae,Brachychthonius,Brachychthonius impressus
Animalia,Arthropoda,Arachnida,Sarcoptiformes,Brachychthoniidae,Brachychthonius,Brachychthonius pius
Animalia,Platyhelminthes,Trematoda,Plagiorchiida,Brachycladiidae,Brachycladium,Brachycladium goliath
Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Brachycoleus,Brachycoleus pilicornis
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycolus,Brachycolus cerastii
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycolus,Brachycolus cucubali
Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Brachycolus,Brachycolus stellariae
Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Brachycyrtus,Brachycyrtus ornatus
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Brachyderes,Brachyderes incanus
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Brachyderes,Brachyderes lusitanicus
Animalia,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,Brachydesmus,Brachydesmus superus
Animalia,Arthropoda,Insecta,Hymenoptera,Evaniidae,Brachygaster,Brachygaster minuta
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Brachygluta,Brachygluta fossulata
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Brachygluta,Brachygluta haematica
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Brachygluta,Brachygluta helferi
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Brachygluta,Brachygluta hemoptera
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Brachygluta,Brachygluta perforata
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Brachygluta,Brachygluta simplicior
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Brachygluta,Brachygluta sinuata
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Brachygluta,Brachygluta waterhousei
Animalia,Arthropoda,Diplopoda,Julida,Julidae,Brachyiulus,Brachyiulus pusillus
Animalia,Platyhelminthes,Trematoda,Strigeida,Brachylaimidae,Brachylaima,Brachylaima arcuata
Animalia,Platyhelminthes,Trematoda,Strigeida,Brachylaimidae,Brachylaima,Brachylaima erinacei
Animalia,Platyhelminthes,Trematoda,Strigeida,Brachylaimidae,Brachylaima,Brachylaima fuscata
Animalia,Platyhelminthes,Trematoda,Plagiorchiida,Dicrocoeliidae,Brachylecithum,Brachylecithum attenuatum
Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Brachylomia,Brachylomia viminalis
Animalia,Arthropoda,Insecta,Hymenoptera,Chalcididae,Brachymeria,Brachymeria obtusata
Animalia,Arthropoda,Insecta,Hymenoptera,Chalcididae,Brachymeria,Brachymeria parvula
Animalia,Arthropoda,Insecta,Hymenoptera,Chalcididae,Brachymeria,Brachymeria podagrica
Animalia,Arthropoda,Insecta,Hymenoptera,Chalcididae,Brachymeria,Brachymeria tibialis
Animalia,Arthropoda,Insecta,Hymenoptera,Chalcididae,Brachymeria,Brachymeria walkeri
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Brachymyrmex,Brachymyrmex cordemoyi
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Brachymyrmex,Brachymyrmex obscurior
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Brachymyrmex,Brachymyrmex patagonicus
Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Brachyneurina,Brachyneurina peniophorae
Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Brachynotocoris,Brachynotocoris puncticornis
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachyopa,Brachyopa bicolor
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachyopa,Brachyopa conica
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachyopa,Brachyopa dorsata
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachyopa,Brachyopa insensilis
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachyopa,Brachyopa panzeri
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachyopa,Brachyopa pilosa
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachyopa,Brachyopa scutellaris
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachyopa,Brachyopa testacea
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachyopa,Brachyopa vittata
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachypalpoides,Brachypalpoides lentus
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachypalpus,Brachypalpus laphriformis
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Brachypalpus,Brachypalpus valgus
Animalia,Arthropoda,Pauropoda,Tetamerocerata,Pauropodidae,Brachypauropus,Brachypauropus hamiger
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Brachypera,Brachypera dauci
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Brachypera,Brachypera zoilus
Animalia,Arthropoda,Arachnida,Trombidiformes,Aturidae,Brachypoda,Brachypoda versicolor
Animalia,Arthropoda,Arachnida,Trombidiformes,Aturidae,Brachypodopsis,Brachypodopsis gracilis
Animalia,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Brachyptera,Brachyptera braueri
Animalia,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Brachyptera,Brachyptera risi
Animalia,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Brachyptera,Brachyptera seticornis
Animalia,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Brachyptera,Brachyptera trifasciata
Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Brachypterolus,Brachypterolus antirrhini
Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Brachypterolus,Brachypterolus linariae
Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Brachypterolus,Brachypterolus pulicarius
Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Brachypterolus,Brachypterolus vestitus
Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Brachypterus,Brachypterus fulvipes
Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Brachypterus,Brachypterus glaber
Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Brachypterus,Brachypterus urticae
Animalia,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,Brachyserphus,Brachyserphus parvulus
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Brachysomus,Brachysomus echinatus
Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Brachysomus,Brachysomus hirtus
Animalia,Arthropoda,Insecta,Hemiptera,Anthocoridae,Brachysteles,Brachysteles parvicornis
Animalia,Arthropoda,Entognatha,Collembola,Brachystomellidae,Brachystomella,Brachystomella parvula
Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Brachythops,Brachythops flavens
Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Brachythops,Brachythops wuestneii
Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Brachytron,Brachytron pratense
Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Brachyusa,Brachyusa concolor
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon abbreviator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon arcuatus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon atrator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon bipartitus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon bistrigatus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon brevicornis
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon breviusculus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon caudiger
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon colpophorus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon coniferarum
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon conjugellae
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon delibator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon discoideus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon epitriptus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon erraticus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon exhilarator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon flevo
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon fulvipes
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon fuscicoxis
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon glaphyrus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon guttiger
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon hebetor
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon hylobii
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon immutator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon intercessor
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon laevigatissimus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon leptus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon longicollis
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon longulus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon medenbachi
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon mediator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon minutator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon mirus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon nigratus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon nigricans
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon nigricollis
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon obscurator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon osculator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon otiosus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon parvicornis
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon parvulus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon picticornis
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon praecox
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon punctulator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon roberti
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon romani
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon scutellaris
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon stabilis
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon subrugosus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon sulcatulus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon tenuicornis
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon titubans
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon triangularis
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon trucidator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon urinator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon variator
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon virgatus
Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bracon,Bracon xanthogaster
Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Brada,Brada villosa
Animalia,Arthropoda,Ostracoda,Podocopida,Cyprididae,Bradleycypris,Bradleycypris obliqua
Animalia,Arthropoda,Ostracoda,Podocopida,Cyprididae,Bradleystrandesia,Bradleystrandesia fuscata
Animalia,Arthropoda,Ostracoda,Podocopida,Cyprididae,Bradleystrandesia,Bradleystrandesia hirsuta
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Ectinosomatidae,Bradya,Bradya simulans
